sample,Time (s),CMD_POS_FLOATMAG_BH,ENC_POS_FLOATMAG_BH,POS_ERR_FLOATMAG_BH,DAC_FLOATMAG_BH,MODE_FLOATMAG_BH,ENC_POS_FLOATMAG_FBX,ENC_POS_FLOATMAG_FBY,ENC_POS_FLOATMAG_FB_COUNT,ENC_POS_FLOATMAG_FB_SCORE,EndPoint_X(um),ENC_X(um)
0,0,0,0,0,275,ff010001,6443008,5324800,15308,1,1.446250095,0
1,0.000125,0,-5,5,287,ff010001,6443008,5324800,15308,1,1.446250095,-0.025
2,0.00025,0,-5,5,288,903000a,6455296,5345280,15309,1,1.563439384,-0.025
3,0.000375,0,-6,6,347,903000a,6455296,5345280,15309,1,1.563439384,-0.03
4,0.0005,2,-6,8,511,903000a,6455296,5345280,15309,1,1.563439384,-0.03
5,0.000625,8,-5,13,683,903000a,6451200,5341184,15310,1,1.524376287,-0.025
6,0.00075,19,0,19,838,903000a,6451200,5341184,15310,1,1.524376287,0
7,0.000875,38,7,31,982,903000a,6451200,5341184,15310,1,1.524376287,0.035
8,0.001,64,10,54,1158,903000a,6451200,5263360,15311,1,1.524376287,0.05
9,0.001125,100,10,90,1352,903000a,6451200,5263360,15311,1,1.524376287,0.05
10,0.00125,145,31,114,1415,903000c,6451200,5263360,15311,1,1.524376287,0.155
11,0.001375,200,64,136,1370,903000c,6438912,5287936,15312,1,1.407186999,0.32
12,0.0015,264,87,177,1444,903000c,6438912,5287936,15312,1,1.407186999,0.435
13,0.001625,338,141,197,1422,903000c,6451200,5275648,15313,1,1.524376287,0.705
14,0.00175,419,203,216,1272,903000c,6451200,5275648,15313,1,1.524376287,1.015
15,0.001875,508,285,223,1131,903000c,6451200,5275648,15313,1,1.524376287,1.425
16,0.002,602,356,246,1056,903000c,6451200,5287936,15314,1,1.524376287,1.78
17,0.002125,700,446,254,965,903000c,6451200,5287936,15314,1,1.524376287,2.23
18,0.00225,800,538,262,780,9030009,6451200,5287936,15314,1,1.524376287,2.69
19,0.002375,900,631,269,722,9030009,6443008,5320704,15315,1,1.446250095,3.155
20,0.0025,1000,726,274,738,9030009,6443008,5320704,15315,1,1.446250095,3.63
21,0.002625,1100,813,287,793,9030009,6443008,5320704,15315,1,1.446250095,4.065
22,0.00275,1200,902,298,840,9030009,6451200,5320704,15316,1,1.524376287,4.51
23,0.002875,1300,989,311,848,9030009,6451200,5320704,15316,1,1.524376287,4.945
24,0.003,1400,1077,323,851,9030009,6471680,5332992,15317,1,1.719691768,5.385
25,0.003125,1500,1164,336,846,9030009,6471680,5332992,15317,1,1.719691768,5.82
26,0.00325,1600,1251,349,845,9030009,6471680,5332992,15317,1,1.719691768,6.255
27,0.003375,1700,1346,354,803,9030009,6516736,5349376,15318,1,2.149385824,6.73
28,0.0035,1800,1447,353,727,9030009,6516736,5349376,15318,1,2.149385824,7.235
29,0.003625,1900,1555,345,652,9030009,6516736,5349376,15318,1,2.149385824,7.775
30,0.00375,2000,1669,331,579,9030009,6582272,5324800,15319,1,2.774395361,8.345
31,0.003875,2100,1785,315,529,9030009,6582272,5324800,15319,1,2.774395361,8.925
32,0.004,2200,1904,296,496,9030009,6582272,5324800,15319,1,2.774395361,9.52
33,0.004125,2300,2022,278,476,9030009,6660096,5353472,15320,1,3.516594186,10.11
34,0.00425,2400,2147,253,435,9030009,6660096,5353472,15320,1,3.516594186,10.735
