sample	CMD_POS_FLOATMAG_BH	ENC_POS_FLOATMAG_BH	POS_ERR_FLOATMAG_BH	DAC_FLOATMAG_BH	MODE_FLOATMAG_BH	FLOATMAG_ACC_ADC_PORT_0
0	-3.000000	-1.000000	0.000000	-194.000000	ff010001	27.000000
1	-3.000000	0.000000	-3.000000	-208.000000	ff010001	61.000000
2	-3.000000	1.000000	-4.000000	-210.000000	903000a	-49.000000
3	-3.000000	0.000000	-3.000000	-190.000000	903000a	48.000000
4	-3.000000	-1.000000	-2.000000	-172.000000	903000a	83.000000
5	-3.000000	1.000000	-4.000000	-170.000000	903000a	91.000000
6	-2.000000	1.000000	-3.000000	-144.000000	903000a	68.000000
7	0.000000	1.000000	-1.000000	-124.000000	903000a	-19.000000
8	3.000000	0.000000	3.000000	-97.000000	903000a	76.000000
9	7.000000	1.000000	6.000000	-84.000000	903000a	72.000000
10	11.000000	2.000000	9.000000	-63.000000	903000a	160.000000
11	18.000000	0.000000	18.000000	-22.000000	903000a	94.000000
12	26.000000	3.000000	23.000000	-18.000000	903000a	27.000000
13	35.000000	10.000000	25.000000	-13.000000	903000a	63.000000
14	47.000000	14.000000	33.000000	28.000000	903000a	-12.000000
15	61.000000	20.000000	41.000000	53.000000	903000a	142.000000
16	77.000000	31.000000	46.000000	62.000000	903000a	-79.000000
17	95.000000	40.000000	55.000000	106.000000	903000a	18.000000
18	116.000000	48.000000	68.000000	153.000000	903000a	-268.000000
19	140.000000	61.000000	79.000000	171.000000	903000a	-24.000000
20	166.000000	73.000000	93.000000	215.000000	903000a	-342.000000
21	196.000000	92.000000	104.000000	224.000000	903000a	-255.000000
22	229.000000	107.000000	122.000000	284.000000	903000a	-559.000000
23	265.000000	128.000000	137.000000	302.000000	903000a	-474.000000
24	305.000000	152.000000	153.000000	329.000000	903000a	-695.000000
25	349.000000	176.000000	173.000000	373.000000	903000a	-676.000000
26	396.000000	211.000000	185.000000	364.000000	903000a	-913.000000
27	448.000000	244.000000	204.000000	413.000000	903000a	-1076.000000
28	504.000000	280.000000	224.000000	447.000000	903000a	-1236.000000
29	564.000000	325.000000	239.000000	449.000000	903000a	-1463.000000
30	628.000000	372.000000	256.000000	481.000000	903000a	-1589.000000
31	697.000000	426.000000	271.000000	492.000000	903000a	-1904.000000
32	771.000000	480.000000	291.000000	537.000000	903000a	-2112.000000
33	850.000000	545.000000	305.000000	532.000000	903000a	-2445.000000
34	934.000000	610.000000	324.000000	575.000000	903000a	-2722.000000
35	1023.000000	676.000000	347.000000	622.000000	903000a	-3032.000000
36	1117.000000	754.000000	363.000000	614.000000	903000a	-3343.000000
37	1217.000000	834.000000	383.000000	648.000000	903000a	-3677.000000
38	1322.000000	915.000000	407.000000	695.000000	903000a	-4107.000000
39	1433.000000	1001.000000	432.000000	725.000000	903000a	-4263.000000
40	1550.000000	1089.000000	461.000000	768.000000	903000a	-4770.000000
41	1672.000000	1180.000000	492.000000	810.000000	903000a	-4938.000000
42	1801.000000	1284.000000	517.000000	800.000000	903000a	-5580.000000
43	1936.000000	1389.000000	547.000000	843.000000	903000a	-5641.000000
44	2077.000000	1501.000000	576.000000	865.000000	903000a	-6274.000000
45	2224.000000	1621.000000	603.000000	881.000000	903000a	-6296.000000
46	2378.000000	1745.000000	633.000000	917.000000	903000a	-6906.000000
47	2539.000000	1874.000000	665.000000	952.000000	903000a	-7078.000000
48	2706.000000	2008.000000	698.000000	989.000000	903000a	-7668.000000
49	2880.000000	2146.000000	734.000000	1033.000000	903000a	-7878.000000
50	3061.000000	2286.000000	775.000000	1088.000000	903000a	-8365.000000
51	3248.000000	2438.000000	810.000000	1094.000000	903000a	-8608.000000
52	3443.000000	2599.000000	844.000000	1106.000000	903000a	-8969.000000
53	3645.000000	2762.000000	883.000000	1155.000000	903000a	-9313.000000
54	3854.000000	2936.000000	918.000000	1164.000000	903000a	-9601.000000
55	4070.000000	3111.000000	959.000000	1219.000000	903000a	-9946.000000
56	4293.000000	3287.000000	1006.000000	1283.000000	903000a	-10194.000000
57	4524.000000	3478.000000	1046.000000	1276.000000	903000a	-10544.000000
58	4763.000000	3686.000000	1077.000000	1245.000000	903000a	-10727.000000
59	5008.000000	3883.000000	1125.000000	1353.000000	903000a	-11061.000000
60	5262.000000	4101.000000	1161.000000	1321.000000	903000a	-11229.000000
61	5523.000000	4316.000000	1207.000000	1391.000000	903000a	-11456.000000
62	5791.000000	4551.000000	1240.000000	1357.000000	903000a	-11741.000000
63	6067.000000	4785.000000	1282.000000	1414.000000	903000a	-11908.000000
64	6351.000000	5022.000000	1329.000000	1467.000000	903000a	-12072.000000
65	6643.000000	5267.000000	1376.000000	1495.000000	903000a	-12176.000000
66	6943.000000	5521.000000	1422.000000	1513.000000	903000a	-12415.000000
67	7250.000000	5787.000000	1463.000000	1511.000000	903000a	-12298.000000
68	7565.000000	6057.000000	1508.000000	1548.000000	903000a	-12599.000000
69	7888.000000	6324.000000	1564.000000	1629.000000	903000a	-12433.000000
70	8219.000000	6607.000000	1612.000000	1621.000000	903000a	-12815.000000
71	8558.000000	6906.000000	1652.000000	1595.000000	903000a	-12682.000000
72	8905.000000	7204.000000	1701.000000	1653.000000	903000c	-12794.000000
