freq	gain	phase
49	116.5883	5.7982
50	115.4651	-1.1008
54	115.8629	2.5451
58	115.1754	-0.4577
62	115.4619	2.2930
66	114.4974	-0.1445
70	114.8128	1.9491
74	111.8715	-0.4467
78	113.9571	25.3817
82	113.3784	15.9394
85	115.8654	43.0452
89	118.4271	18.7039
93	116.8654	17.4137
97	119.2017	9.2736
101	117.9451	-2.3929
105	118.1915	-0.0717
109	117.7343	-4.0686
113	117.8388	-2.3456
117	117.5681	-5.3432
121	117.5717	-4.1851
124	117.4175	-7.1286
128	117.3957	-5.8058
132	117.2418	-8.3908
136	117.2210	-7.1211
140	117.0741	-9.3707
144	117.0501	-8.2868
148	116.9174	-10.3676
152	116.8851	-9.4719
156	116.7642	-11.4397
160	116.7218	-10.6604
164	116.6088	-12.5412
167	116.5521	-11.8274
171	116.4397	-13.6158
175	116.3668	-12.9604
179	116.2512	-14.6799
183	116.1630	-14.0877
187	116.0472	-15.7685
191	115.9433	-15.2217
195	115.8267	-16.8614
199	115.7064	-16.3440
203	115.5801	-17.9466
207	115.4418	-17.4275
210	115.3002	-19.0090
214	115.1362	-18.4685
218	114.9781	-20.0406
222	114.7796	-19.4972
226	114.5973	-21.0651
230	114.3575	-20.5103
234	114.1390	-22.0892
238	113.8449	-21.4922
242	113.5841	-23.1133
246	113.2142	-22.4839
249	112.8873	-24.1518
253	112.4162	-23.3905
257	111.9780	-25.1100
261	111.3718	-23.9854
265	110.7859	-25.8087
269	109.9687	-24.2056
273	109.1465	-26.2099
277	107.9332	-23.7232
281	106.6214	-25.7768
285	104.5583	-21.1867
289	101.9451	-23.7633
292	97.0368	-12.8697
296	77.3966	-56.7540
300	99.1776	140.6320
304	105.7636	146.1772
308	111.6510	132.3218
312	114.0636	121.6644
316	117.0172	117.8410
320	119.1977	109.0103
324	120.9969	106.2647
328	123.5507	101.6144
332	125.9697	90.5047
335	127.7092	76.7671
339	129.2231	63.0851
343	130.4530	46.6104
347	130.7863	31.0772
351	130.8784	19.5671
355	130.7962	8.5661
359	130.1337	-0.3748
363	129.5543	-5.3486
367	128.9802	-11.0419
371	128.3219	-14.5706
375	127.8172	-17.7254
378	127.3186	-20.0768
382	126.9409	-22.2458
386	126.5441	-23.9068
390	126.2470	-25.6438
394	125.9337	-26.9131
398	125.6913	-28.3030
402	125.4326	-29.3481
406	125.2339	-30.5019
410	125.0152	-31.4009
414	124.8512	-32.4137
417	124.6595	-33.2085
421	124.5175	-34.0478
425	124.3660	-34.7301
429	124.2418	-35.4999
433	124.1316	-36.0950
437	124.0323	-36.9958
441	123.9206	-37.5701
445	123.8391	-38.4216
449	123.7245	-38.9709
453	123.6516	-39.6525
457	123.5535	-40.1543
460	123.4953	-40.7683
464	123.4114	-41.2435
468	123.3713	-41.8285
472	123.2987	-42.2934
476	123.2733	-42.8836
480	123.2110	-43.3433
484	123.1925	-43.9484
488	123.1405	-44.3955
492	123.1267	-44.9754
496	123.0793	-45.4098
500	123.0793	-45.9398
503	123.0357	-46.3938
507	123.0508	-46.9171
511	123.0156	-47.4232
515	123.0375	-47.9641
519	123.0129	-48.5242
523	123.0431	-49.1116
527	123.0245	-49.7758
531	123.0737	-50.5235
535	123.0180	-51.6014
539	122.9967	-52.2110
542	122.9120	-53.2108
546	122.8046	-53.3894
550	122.7667	-53.4804
554	122.7519	-53.5849
558	122.7689	-53.6385
562	122.8283	-53.9721
566	122.8427	-54.5445
570	122.8634	-54.9718
574	122.8251	-55.2117
578	122.9720	-54.8687
582	123.0963	-56.0402
585	123.2256	-56.2738
589	123.4541	-58.6636
593	123.2804	-60.7781
597	123.2130	-61.7702
601	122.9970	-63.2019
605	122.8129	-62.8549
609	122.7479	-62.9575
613	122.7064	-62.7533
617	122.6897	-62.9746
621	122.6804	-62.8982
625	122.6929	-63.1909
628	122.6988	-63.2196
632	122.7414	-63.5805
636	122.7514	-63.8255
640	122.7916	-64.1704
644	122.8040	-64.4718
648	122.8368	-64.8070
652	122.8566	-65.0297
656	122.8958	-65.3619
660	122.9257	-65.5819
664	122.9776	-65.9343
667	123.0234	-66.2384
671	123.0892	-66.8895
675	123.1022	-67.3349
679	123.1511	-68.0672
683	123.1100	-68.5165
687	123.1368	-68.7907
691	123.1325	-69.0653
695	123.1735	-69.2262
699	123.2189	-69.4777
703	123.2697	-69.8228
707	123.3117	-70.1685
710	123.3624	-70.5099
714	123.3916	-70.8843
718	123.4503	-71.2124
722	123.4732	-71.5503
726	123.5328	-71.8820
730	123.5648	-72.1567
734	123.6281	-72.4815
738	123.6730	-72.7286
742	123.7361	-73.0686
746	123.7932	-73.3342
750	123.8466	-73.6674
753	123.9130	-73.9657
757	123.9728	-74.2748
761	124.0388	-74.5581
765	124.1152	-74.8589
769	124.1784	-75.1420
773	124.2634	-75.4167
777	124.3288	-75.7479
781	124.4173	-76.0099
785	124.4895	-76.3547
789	124.5844	-76.6152
792	124.6613	-76.9767
796	124.7679	-77.2547
800	124.8455	-77.6372
804	124.9574	-77.9598
808	125.0352	-78.2920
812	125.1405	-78.5671
816	125.2293	-78.7662
820	125.3627	-78.9315
824	125.4925	-79.1869
828	125.6777	-79.5275
832	125.8394	-80.1256
835	126.0241	-80.8453
839	126.1733	-81.7119
843	126.3249	-82.7367
847	126.4030	-83.9629
851	126.4349	-84.9404
855	126.4119	-85.7980
859	126.3512	-85.8598
863	126.4010	-85.4233
867	126.4965	-85.0333
871	126.7148	-84.5954
874	126.9387	-85.0722
878	127.1286	-85.4225
882	127.3239	-86.1629
886	127.4576	-86.6881
890	127.6332	-87.1688
894	127.7836	-87.6422
898	127.9640	-88.1117
902	128.1304	-88.5452
906	128.3220	-89.0258
910	128.5034	-89.4833
914	128.7106	-89.9407
917	128.9106	-90.4375
921	129.1360	-90.9200
925	129.3544	-91.4152
929	129.6000	-91.9777
933	129.8341	-92.5111
937	130.0951	-93.1423
941	130.3435	-93.7738
945	130.6173	-94.4107
949	130.8888	-95.1189
953	131.1764	-95.7455
957	131.4804	-96.4398
960	131.7946	-97.1066
964	132.1327	-97.7808
968	132.4906	-98.5104
