sample,Time (s),CMD_POS_FLOATMAG_BH,ENC_POS_FLOATMAG_BH,POS_ERR_FLOATMAG_BH,DAC_FLOATMAG_BH,MODE_FLOATMAG_BH,ENC_POS_FLOATMAG_FBX,ENC_POS_FLOATMAG_FBY,ENC_POS_FLOATMAG_FB_COUNT,ENC_POS_FLOATMAG_FB_SCORE,EndPoint_X(um),ENC_X(um),dENC_X(um),ddENC_X(um)
929,0.116125,1600,1937,-337,-356,9030009,6930432,5328896,15328,1,6.094758526,9.685,,
930,0.11625,1500,1832,-332,-341,9030009,6930432,5328896,15328,1,6.094758526,9.16,-0.5250000000000004,
931,0.116375,1400,1735,-335,-392,9030009,6930432,5328896,15329,1,6.094758526,8.675,-0.48499999999999943,0.040000000000000924
932,0.1165,1300,1631,-331,-409,9030009,6930432,5328896,15329,1,6.094758526,8.155,-0.5200000000000014,-0.03500000000000192
933,0.116625,1200,1530,-330,-395,9030009,6930432,5328896,15329,1,6.094758526,7.65,-0.504999999999999,0.015000000000002345
934,0.11675,1100,1421,-321,-374,9030009,6930432,5328896,15330,1,6.094758526,7.105,-0.5449999999999999,-0.040000000000000924
935,0.116875,1000,1315,-315,-352,9030009,6930432,5328896,15330,1,6.094758526,6.575,-0.5300000000000002,0.01499999999999968
936,0.117,900,1219,-319,-416,9030009,6930432,5328896,15330,1,6.094758526,6.095,-0.4800000000000004,0.04999999999999982
937,0.117125,800,1111,-311,-420,903000d,6930432,5328896,15331,1,6.094758526,5.555,-0.54,-0.05999999999999961
938,0.11725,701,1010,-309,-322,903000d,6930432,5328896,15331,1,6.094758526,5.05,-0.5049999999999999,0.03500000000000014
939,0.117375,603,911,-308,-199,903000d,6930432,5328896,15331,1,6.094758526,4.555,-0.4950000000000001,0.009999999999999787
940,0.1175,509,821,-312,-82,903000d,6930432,5328896,15331,1,6.094758526,4.105,-0.4499999999999993,0.04500000000000082
941,0.117625,420,727,-307,60,903000d,6930432,5328896,15331,1,6.094758526,3.635,-0.47000000000000064,-0.02000000000000135
942,0.11775,339,637,-298,227,903000d,6930432,5328896,15332,1,6.094758526,3.185,-0.44999999999999973,0.020000000000000906
943,0.117875,265,552,-287,345,903000d,6930432,5328896,15332,1,6.094758526,2.76,-0.42500000000000027,0.024999999999999467
944,0.118,201,468,-267,461,903000d,6930432,5328896,15332,1,6.094758526,2.34,-0.41999999999999993,0.0050000000000003375
945,0.118125,146,397,-251,524,903000f,6930432,5328896,15333,1,6.094758526,1.985,-0.35499999999999976,0.06500000000000017
946,0.11825,101,326,-225,567,903000f,6930432,5328896,15333,1,6.094758526,1.63,-0.3550000000000002,-4.440892098500626e-16
947,0.118375,65,275,-210,555,903000f,6930432,5328896,15333,1,6.094758526,1.375,-0.2549999999999999,0.10000000000000031
948,0.1185,39,233,-194,468,903000f,6930432,5328896,15334,1,6.094758526,1.165,-0.20999999999999996,0.04499999999999993
949,0.118625,20,203,-183,384,903000f,6930432,5328896,15334,1,6.094758526,1.015,-0.15000000000000013,0.05999999999999983
950,0.11875,9,187,-178,250,903000f,7004160,5169152,15335,1,6.797894255,0.935,-0.07999999999999985,0.07000000000000028
951,0.118875,3,180,-177,93,903000f,7004160,5169152,15335,1,6.797894255,0.9,-0.03500000000000003,0.04499999999999982
952,0.119,1,173,-172,-26,901000f,7004160,5169152,15335,1,6.797894255,0.865,-0.03500000000000003,0.0
953,0.119125,0,178,-178,-184,ff010001,6918144,5124096,15336,1,5.977569238,0.89,0.025000000000000022,0.06000000000000005
954,0.11925,0,180,-180,-281,ff010001,6918144,5124096,15336,1,5.977569238,0.9,0.010000000000000009,-0.015000000000000013
955,0.119375,0,185,-185,-269,ff010001,6918144,5124096,15336,1,5.977569238,0.925,0.025000000000000022,0.015000000000000013
956,0.1195,0,187,-187,-258,ff010001,6807552,5103616,15337,1,4.922865644,0.935,0.010000000000000009,-0.015000000000000013
957,0.119625,0,188,-188,-240,ff010001,6807552,5103616,15337,1,4.922865644,0.94,0.004999999999999893,-0.0050000000000001155
958,0.11975,0,185,-185,-226,ff010001,6807552,5103616,15337,1,4.922865644,0.925,-0.014999999999999902,-0.019999999999999796
959,0.119875,0,178,-178,-203,ff010001,6656000,5234688,15338,1,3.47753109,0.89,-0.03500000000000003,-0.02000000000000013
960,0.12,0,163,-163,-162,ff010001,6656000,5234688,15338,1,3.47753109,0.815,-0.07500000000000007,-0.040000000000000036
961,0.120125,0,157,-157,-180,ff010001,6516736,5197824,15339,1,2.149385824,0.785,-0.029999999999999916,0.04500000000000015
962,0.12025,0,148,-148,-230,ff010001,6516736,5197824,15339,1,2.149385824,0.74,-0.04500000000000004,-0.015000000000000124
963,0.120375,0,152,-152,-299,ff010001,6516736,5197824,15339,1,2.149385824,0.76,0.020000000000000018,0.06500000000000006
964,0.1205,0,160,-160,-402,ff010001,6340608,5275648,15340,1,0.469672694,0.8,0.040000000000000036,0.020000000000000018
965,0.120625,0,173,-173,-468,ff010001,6340608,5275648,15340,1,0.469672694,0.865,0.06499999999999995,0.02499999999999991
966,0.12075,0,196,-196,-559,ff010001,6340608,5275648,15340,1,0.469672694,0.98,0.11499999999999999,0.050000000000000044
967,0.120875,0,218,-218,-625,ff010001,6197248,5214208,15341,1,-0.897535668,1.09,0.1100000000000001,-0.004999999999999893
968,0.121,0,244,-244,-660,ff010001,6197248,5214208,15341,1,-0.897535668,1.22,0.1299999999999999,0.019999999999999796
969,0.121125,0,269,-269,-695,ff010001,6197248,5214208,15341,1,-0.897535668,1.345,0.125,-0.004999999999999893
970,0.12125,0,294,-294,-714,ff010001,6057984,5230592,15342,1,-2.225680934,1.47,0.125,0.0
971,0.121375,0,320,-320,-744,ff010001,6057984,5230592,15342,1,-2.225680934,1.6,0.13000000000000012,0.0050000000000001155
972,0.1215,0,339,-339,-743,ff010001,6057984,5230592,15342,1,-2.225680934,1.695,0.09499999999999997,-0.03500000000000014
973,0.121625,0,349,-349,-690,ff010001,5910528,5230592,15343,1,-3.631952392,1.745,0.050000000000000044,-0.04499999999999993
974,0.12175,0,355,-355,-645,ff010001,5910528,5230592,15343,1,-3.631952392,1.775,0.029999999999999805,-0.02000000000000024
975,0.121875,0,350,-350,-591,ff010001,5787648,5378048,15344,1,-4.803845274,1.75,-0.02499999999999991,-0.054999999999999716
976,0.122,0,339,-339,-523,ff010001,5787648,5378048,15344,1,-4.803845274,1.695,-0.05499999999999994,-0.030000000000000027
977,0.122125,0,316,-316,-444,ff010001,5787648,5378048,15344,1,-4.803845274,1.58,-0.11499999999999999,-0.06000000000000005
978,0.12225,0,293,-293,-387,ff010001,5709824,5365760,15345,1,-5.546044099,1.465,-0.11499999999999999,0.0
979,0.122375,0,265,-265,-361,ff010001,5709824,5365760,15345,1,-5.546044099,1.325,-0.14000000000000012,-0.025000000000000133
980,0.1225,0,231,-231,-304,ff010001,5709824,5365760,15345,1,-5.546044099,1.155,-0.16999999999999993,-0.029999999999999805
981,0.122625,0,192,-192,-236,ff010001,5644288,5357568,15346,1,-6.171053635,0.96,-0.19500000000000006,-0.025000000000000133
