sample,CMD_POS_FLOATMAG_BH,ENC_POS_FLOATMAG_BH,POS_ERR_FLOATMAG_BH,DAC_FLOATMAG_BH,MODE_FLOATMAG_BH,FLOATMAG_ACC_ADC_PORT_0
0,-3.0,-1.0,0.0,-192.0,ff010001,31.0
1,-3.0,1.0,-4.0,-211.0,ff010001,43.0
2,-3.0,-1.0,-2.0,-197.0,903000a,121.0
3,-3.0,1.0,-4.0,-201.0,903000a,-13.0
4,-3.0,-2.0,-1.0,-162.0,903000a,142.0
5,-3.0,-1.0,-2.0,-162.0,903000a,-10.0
6,-2.0,2.0,-4.0,-157.0,903000a,194.0
7,0.0,2.0,-2.0,-125.0,903000a,-66.0
8,3.0,2.0,1.0,-103.0,903000a,243.0
9,7.0,2.0,5.0,-80.0,903000a,-107.0
10,11.0,2.0,9.0,-56.0,903000a,224.0
11,18.0,5.0,13.0,-46.0,903000a,-89.0
12,26.0,9.0,17.0,-28.0,903000a,256.0
13,35.0,10.0,25.0,14.0,903000a,-10.0
14,47.0,15.0,32.0,28.0,903000a,168.0
15,61.0,20.0,41.0,59.0,903000a,-85.0
16,77.0,29.0,48.0,74.0,903000a,48.0
17,95.0,36.0,59.0,119.0,903000a,-64.0
18,116.0,50.0,66.0,124.0,903000a,-48.0
19,140.0,59.0,81.0,186.0,903000a,-174.0
20,166.0,77.0,89.0,186.0,903000a,-278.0
21,196.0,92.0,104.0,240.0,903000a,-293.0
22,229.0,107.0,122.0,287.0,903000a,-392.0
23,265.0,128.0,137.0,304.0,903000a,-478.0
24,305.0,153.0,152.0,326.0,903000a,-727.0
25,349.0,177.0,172.0,374.0,903000a,-804.0
26,396.0,207.0,189.0,392.0,903000a,-916.0
27,448.0,243.0,205.0,405.0,903000a,-992.0
28,504.0,280.0,224.0,443.0,903000a,-1197.0
29,564.0,320.0,244.0,476.0,903000a,-1502.0
30,628.0,370.0,258.0,472.0,903000a,-1604.0
31,697.0,420.0,277.0,514.0,903000a,-1982.0
32,771.0,474.0,297.0,543.0,903000a,-1992.0
33,850.0,538.0,312.0,541.0,903000a,-2479.0
34,934.0,601.0,333.0,589.0,903000a,-2610.0
35,1023.0,675.0,348.0,585.0,903000a,-3195.0
36,1117.0,749.0,368.0,630.0,903000a,-3187.0
37,1217.0,826.0,391.0,668.0,903000a,-3716.0
38,1322.0,910.0,412.0,686.0,903000a,-3874.0
39,1433.0,991.0,442.0,753.0,903000a,-4463.0
40,1550.0,1079.0,471.0,777.0,903000a,-4690.0
41,1672.0,1174.0,498.0,795.0,903000a,-5122.0
42,1801.0,1277.0,524.0,805.0,903000a,-5346.0
43,1936.0,1383.0,553.0,842.0,903000a,-5843.0
44,2077.0,1494.0,583.0,874.0,903000a,-6157.0
45,2224.0,1613.0,611.0,891.0,903000a,-6484.0
46,2378.0,1736.0,642.0,928.0,903000a,-6873.0
47,2539.0,1871.0,668.0,927.0,903000a,-7134.0
48,2706.0,2004.0,702.0,993.0,903000a,-7583.0
49,2880.0,2139.0,741.0,1051.0,903000a,-7932.0
50,3061.0,2284.0,777.0,1068.0,903000a,-8374.0
51,3248.0,2437.0,811.0,1088.0,903000a,-8590.0
52,3443.0,2594.0,849.0,1127.0,903000a,-8981.0
53,3645.0,2760.0,885.0,1145.0,903000a,-9272.0
54,3854.0,2928.0,926.0,1195.0,903000a,-9621.0
55,4070.0,3105.0,965.0,1216.0,903000a,-10034.0
56,4293.0,3283.0,1010.0,1274.0,903000a,-10143.0
57,4524.0,3472.0,1052.0,1285.0,903000a,-10524.0
58,4763.0,3670.0,1093.0,1299.0,903000a,-10704.0
59,5008.0,3875.0,1133.0,1323.0,903000a,-11129.0
60,5262.0,4086.0,1176.0,1355.0,903000a,-11192.0
61,5523.0,4299.0,1224.0,1410.0,903000a,-11558.0
62,5791.0,4523.0,1268.0,1423.0,903000a,-11548.0
63,6067.0,4759.0,1308.0,1422.0,903000a,-11875.0
64,6351.0,5000.0,1351.0,1455.0,903000a,-12035.0
